Date,Date,Price,Zone
2018-08-01 00:00:00,8/1/2018 12:00:00 AM,18.9975,LZ_AEN
2018-08-01 01:00:00,8/1/2018 1:00:00 AM,18.4525,LZ_AEN
2018-08-01 02:00:00,8/1/2018 2:00:00 AM,18.0175,LZ_AEN
2018-08-01 03:00:00,8/1/2018 3:00:00 AM,17.9925,LZ_AEN
2018-08-01 04:00:00,8/1/2018 4:00:00 AM,18.095,LZ_AEN
2018-08-01 05:00:00,8/1/2018 5:00:00 AM,18.5175,LZ_AEN
2018-08-01 06:00:00,8/1/2018 6:00:00 AM,18.9975,LZ_AEN
2018-08-01 07:00:00,8/1/2018 7:00:00 AM,19.0825,LZ_AEN
2018-08-01 08:00:00,8/1/2018 8:00:00 AM,19.8025,LZ_AEN
2018-08-01 09:00:00,8/1/2018 9:00:00 AM,21.23,LZ_AEN
2018-08-01 10:00:00,8/1/2018 10:00:00 AM,29.685,LZ_AEN
2018-08-01 11:00:00,8/1/2018 11:00:00 AM,31.57,LZ_AEN
2018-08-01 12:00:00,8/1/2018 12:00:00 PM,34.6875,LZ_AEN
2018-08-01 13:00:00,8/1/2018 1:00:00 PM,54.5175,LZ_AEN
2018-08-01 14:00:00,8/1/2018 2:00:00 PM,138.455,LZ_AEN
2018-08-01 15:00:00,8/1/2018 3:00:00 PM,93.81,LZ_AEN
2018-08-01 16:00:00,8/1/2018 4:00:00 PM,209.525,LZ_AEN
2018-08-01 17:00:00,8/1/2018 5:00:00 PM,163.1125,LZ_AEN
2018-08-01 18:00:00,8/1/2018 6:00:00 PM,54.9625,LZ_AEN
2018-08-01 19:00:00,8/1/2018 7:00:00 PM,40.0575,LZ_AEN
2018-08-01 20:00:00,8/1/2018 8:00:00 PM,29.42,LZ_AEN
2018-08-01 21:00:00,8/1/2018 9:00:00 PM,26.4725,LZ_AEN
2018-08-01 22:00:00,8/1/2018 10:00:00 PM,21.0125,LZ_AEN
2018-08-01 23:00:00,8/1/2018 11:00:00 PM,19.39,LZ_AEN
2018-08-02 00:00:00,8/2/2018 12:00:00 AM,18.345,LZ_AEN
2018-08-02 01:00:00,8/2/2018 1:00:00 AM,17.4975,LZ_AEN
2018-08-02 02:00:00,8/2/2018 2:00:00 AM,17.08,LZ_AEN
2018-08-02 03:00:00,8/2/2018 3:00:00 AM,16.46,LZ_AEN
2018-08-02 04:00:00,8/2/2018 4:00:00 AM,17.025,LZ_AEN
2018-08-02 05:00:00,8/2/2018 5:00:00 AM,18.0125,LZ_AEN
2018-08-02 06:00:00,8/2/2018 6:00:00 AM,18.4025,LZ_AEN
2018-08-02 07:00:00,8/2/2018 7:00:00 AM,19.2325,LZ_AEN
2018-08-02 08:00:00,8/2/2018 8:00:00 AM,20.4925,LZ_AEN
2018-08-02 09:00:00,8/2/2018 9:00:00 AM,24.13,LZ_AEN
2018-08-02 10:00:00,8/2/2018 10:00:00 AM,31.0025,LZ_AEN
2018-08-02 11:00:00,8/2/2018 11:00:00 AM,38.9325,LZ_AEN
2018-08-02 12:00:00,8/2/2018 12:00:00 PM,44.115,LZ_AEN
2018-08-02 13:00:00,8/2/2018 1:00:00 PM,107.5825,LZ_AEN
2018-08-02 14:00:00,8/2/2018 2:00:00 PM,91.2925,LZ_AEN
2018-08-02 15:00:00,8/2/2018 3:00:00 PM,86.065,LZ_AEN
2018-08-02 16:00:00,8/2/2018 4:00:00 PM,90.93,LZ_AEN
2018-08-02 17:00:00,8/2/2018 5:00:00 PM,62.605,LZ_AEN
2018-08-02 18:00:00,8/2/2018 6:00:00 PM,51.415,LZ_AEN
2018-08-02 19:00:00,8/2/2018 7:00:00 PM,30.1475,LZ_AEN
2018-08-02 20:00:00,8/2/2018 8:00:00 PM,27.885,LZ_AEN
2018-08-02 21:00:00,8/2/2018 9:00:00 PM,23.135,LZ_AEN
2018-08-02 22:00:00,8/2/2018 10:00:00 PM,19.685,LZ_AEN
2018-08-02 23:00:00,8/2/2018 11:00:00 PM,18.8525,LZ_AEN
